Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-06-23,"""Strength training (weight lifting, weight training)""",Cardio,505.5,57,,,,,
2026-06-24,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,53.7,10,,,,,
2026-06-24,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,191.1,31,,,,,
2026-06-25,"""Strength training (weight lifting, weight training)""",Cardio,555.8,58,,,,,
2026-06-25,"""Walking, 2.0 mph, slow pace""",Cardio,180.8,45,,,,,
2026-06-25,"""Walking, 2.5 mph, leisurely pace""",Cardio,124.9,28,,,,,
2026-06-25,"""Walking, 2.5 mph, leisurely pace""",Cardio,98.3,22,,,,,
2026-06-25,"""Walking, 2.5 mph, leisurely pace""",Cardio,67.6,17,,,,,
2026-06-25,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,216.3,50,,,,,
2026-06-26,"""Strength training (weight lifting, weight training)""",Cardio,477.6,50,,,,,
2026-06-26,"""Walking, 2.0 mph, slow pace""",Cardio,68.7,22,,,,,
2026-06-26,"""Walking, 2.5 mph, leisurely pace""",Cardio,138.2,26,,,,,
2026-06-26,"""Walking, 2.5 mph, leisurely pace""",Cardio,71.0,19,,,,,
2026-06-26,"""Walking, 2.5 mph, leisurely pace""",Cardio,62.4,15,,,,,
2026-06-27,"""Strength training (weight lifting, weight training)""",Cardio,590.3,60,,,,,
2026-06-27,"""Walking, 2.5 mph, leisurely pace""",Cardio,67.8,17,,,,,
2026-06-27,"""Walking, 2.5 mph, leisurely pace""",Cardio,93.2,22,,,,,
2026-06-28,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,389.4,34,,,,,
2026-06-29,"""Circuit training, general""",Cardio,239.6,20,,,,,
2026-06-29,"""Strength training (weight lifting, weight training)""",Cardio,412.8,45,,,,,
2026-06-29,"""Walking, 2.5 mph, leisurely pace""",Cardio,67.9,17,,,,,
2026-06-30,"""Strength training (weight lifting, weight training)""",Cardio,407.4,45,,,,,
2026-06-30,"""Walking, 2.5 mph, leisurely pace""",Cardio,159.6,40,,,,,
2026-06-30,"""Walking, 2.5 mph, leisurely pace""",Cardio,71.0,19,,,,,
2026-06-30,Apple Health App Workout,Cardio,50.3,6,,,,,
2026-07-01,"""Strength training (weight lifting, weight training)""",Cardio,461.6,51,,,,,
2026-07-01,"""Walking, 2.5 mph, leisurely pace""",Cardio,69.2,17,,,,,
2026-07-01,"""Walking, 2.5 mph, leisurely pace""",Cardio,78.3,20,,,,,
2026-07-02,"""Running (jogging), 6 mph (10 min mile)""",Cardio,45.2,3,,,,,
2026-07-02,"""Running (jogging), 6.7 mph (9 min mile)""",Cardio,119.5,9,,,,,
2026-07-02,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,35.4,6,,,,,
2026-07-02,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,103.7,18,,,,,
2026-07-03,"""Strength training (weight lifting, weight training)""",Cardio,673.2,62,,,,,
2026-07-03,"""Walking, 2.5 mph, leisurely pace""",Cardio,71.1,17,,,,,
2026-07-04,Yoga,Cardio,25.3,4,,,,,
2026-07-05,"""Strength training (weight lifting, weight training)""",Cardio,565.6,60,,,,,
2026-07-05,"""Walking, 2.0 mph, slow pace""",Cardio,73.0,22,,,,,
2026-07-05,"""Walking, 2.0 mph, slow pace""",Cardio,75.6,21,,,,,
2026-07-06,"""Strength training (weight lifting, weight training)""",Cardio,420.3,50,,,,,
2026-07-06,"""Walking, 2.0 mph, slow pace""",Cardio,69.7,22,,,,,
2026-07-06,"""Walking, 2.5 mph, leisurely pace""",Cardio,73.4,20,,,,,
